current_product_name,current_rule,row_count,meta_spend,meta_gmv,conversions,top_ad_name_pattern,sample_ad_name,manual_product_name,manual_action,manual_notes
唇部精华,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,19203,57130.91,124835.16,2935,唇部精华 / image / US,唇部精华__image_LS-1802-4-DAILY-Erika.CR-9-16 -PUGC-SHADES-IGS-GAVINA-ORI_SC2602190384 - Copy 3,,,
美白4件套,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,12442,28256.96,64103.67,978,美白4件套 / image / 美白套装,美白4件套__image_4PCS-1004-7-DAILY-Erika.NT-9-16 -PUGC-TIPS-IGS-GAVINA-ORI copy.jpg_SC2604110003 - Copy,,,
水光气垫,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,11017,26890.16,58095.75,1314,水光气垫 / 图片 / US,水光气垫__P_PC-2912-5-DAILY-Jasmine.CL-1-1-PUGC-SHADES-IGF-MURPHY-ORI_SC2512300312 - Copy 5,,,
跨品类,ad_name 包含“跨品类/跨类目”时才归为跨品类,8633,25478.35,54826.83,848,跨品类 / 图片 / US,跨品类__image_BSM-1604-6-DAILY-Erika.CL-9-16 -PUGC-BEST SELLER-IGS-GAVINA-ORI_SC2604220245,,,
水油喷雾,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,9051,23475.54,48815.19,829,水油喷雾 / 图片 / US,水油喷雾__image_SS-1703-12-DAILY-Erika.CL-9-16 -PUGC-USP-IGS-GAVINA-ORI_SC2603300016 - Copy,,,
泥膜棒合集,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,8505,21384.04,43121.77,1046,泥膜棒合集 / image / US,泥膜棒合集_帖子__yayayayoung-DXJBBeyxM6I_US-DXJBBeyxM6I - Copy,,,
气垫合集,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,7443,20931.29,48320.15,988,气垫合集 / video / [IG ORDER]-SX-PCS-317-6-TT-AN.RN-SKT.GLOBAL,气垫合集__P_Murphy-BC-P916-010801-IGS气垫合集_SC2601120005 - Copy,,,
面霜合集,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,6357,17691.59,42637.45,681,面霜合集 / P / Murphy-5XM-P916-122905-IGS-对比,面霜合集__image_5XM-1304-11-DAILY-Natasha.CL-4-5-PUGC-COMPARE-FB-GAVINA-ORI_SC2604220248,,,
美白面膜,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,7616,13116.58,31518.45,503,美白面膜 / image / BSM-0904-3-DAILY-Jasmine.CR-4-5-PUGC-BA-FB-GAVINA-ORI,美白面膜__image_BSM-0904-3-DAILY-Jasmine.CR-4-5-PUGC-BA-FB-GAVINA-ORI_SC2604130177,,,
火山泥膜棒,ad_name 第一段清洗素材后缀后作为产品；清洗 tt/搬运/广告副本/Copy/TikSave/帖子 等尾巴,7084,12652.47,23958.61,530,火山泥膜棒 / video / tiktok搬运,火山泥膜棒_帖子__V_DU9jh4biTix_yayayayoung - Copy 3,,,
